SMILES,matched_by,matched_query,pubchem_cid,MW,nHBAcc,ALogP,FMF,HybRatio,nAcid,S1,S2,S3,S4,S5,S6
C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)CO)O,Name,2'-Deoxyguanosine,135398592,267.2417245,7,-1.5495,0.4375,0.5,0,8150879.62,27198997.71,21368646.2,15098769.7,29253727.18,32013143.99
CN1C=NC2=C1C(=O)N(C(=O)N2)C,Name,Paraxanthine,4687,180.1643,3,0.6163,0.428571429,0.285714286,0,39088775.58,65162449.46,50000751.92,130696767.1,134319251.2,105859261.4
,,,,,,,,,,23157470.93,9117896.055,9726369.369,25899827.53,19113575.17,25445600.95
CN1C2CCC1C(C(C2)O)C(=O)O,Name,Ecgonine,91460,185.2206524,4,-0.1757,0.285714286,0.888888889,1,15871591.86,15640995.5,20085830.19,28308384.66,34025116.74,45809842.26
CNC(=NC)NCCCC(C(=O)O)N,Name,"N3,N4-Dimethyl-L-arginine",169148,202.2544434,6,-0.8582,0,0.75,1,2230154.419,1272181.664,920770.6688,419603.142,2242784.827,3920001.151
COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,Name,Diosmetin,5281612,300.263493,4,3.0106,0.470588235,0.0625,0,903000.2041,683523.8459,611880.5251,2086755.096,1141899.977,1338336.661
CC(C)(CO)C(C(=O)NCCCO)O,Name,D-Panthenol,131204,205.2518203,5,-1.1583,0,0.888888889,0,7582872.94,15713755.55,10857030.29,11723943.69,11159842.41,16967567.93
COC1=CC(=CC(=C1O)OC)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O,Name,Malvidin,159287,331.297456,4,3.0232,0.41025641,0.117647059,0,1948459.388,3787496.808,2085804.974,6989015.806,4742322.502,3944892.741
COC1=C(C=C(C=C1)CC(=O)O)O,Name,Isohomovanillic acid,160562,182.1736503,3,1.1854,0.260869565,0.222222222,1,8842501.732,17617443.96,8923751.718,13244443.38,9880028.131,7784971.486
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,Name,Miquelianin,5274585,478.3606515,11,0.7967,0.442307692,0.238095238,1,200027.0668,241303.8143,220105.313,381852.1256,350374.4105,315762.204
COC1=C(C(=CC=C1)OC)C2=CC(=O)C3=C(O2)C=CC(=C3OC)OC,Name,"2-(2,6-dimethoxyphenyl)-5,6-dimethoxy-4H-chromen-4-one",629965,342.3433452,1,3.7636,0.372093023,0.210526316,0,850444.7674,873228.6863,835209.2464,993746.23,869826.0927,940494.9227
CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,Name,5'-S-Methyl-5'-thioadenosine,439176,297.335022,7,-0.8669,0.4,0.545454545,0,3733164.199,11059553.15,8770179.49,1883573.826,7737148.593,6584379.874
CC(=O)NC(CC(=O)O)C(=O)NC(CCC(=O)O)C(=O)O,Name,N-Acetyl-1-aspartylglutamic acid,188803,304.2537928,10,-1.8963,0,0.545454545,3,472992.9181,493542.5662,537205.5624,465194.5594,668649.0806,623711.8842
CC(=C)C1CCC(=CC1)C=NO,Name,Perillartine,5365782,165.2325784,0,2.3662,0.222222222,0.5,0,1936797.33,1309537.798,1996703.384,2359162.414,2702233.617,3045338.154
