EC_Number,Taxonomy,Genus,Species,Microbe,Reaction_ID,Reaction_Name,Definition,Equation,Reactants,Products,Reactants_With_Formula,Products_With_Formula,hit,matched_exudates,matched_side,matched_compounds_in_rxn
1.14.14.1,k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Intrasporangiaceae;g__Humibacillus;s__Humibacillus_xanthopallidus,Humibacillus,Humibacillus xanthopallidus,Humibacillus xanthopallidus,R09421,,4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone + Oxygen + NADPH + H+ <=> 4-[(Hydroxymethyl)nitrosoamino]-1-(3-pyridinyl)-1-butanone + H2O + NADP+,C16453 + C00007 + C00005 + C00080 <=> C19563 + C00001 + C00006,C16453; C00007; C00005; C00080,C19563; C00001; C00006,C16453; C00007; C00005; C00080 [C10H13N3O2 | 4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone; NNK],C19563; C00001; C00006 [C10H13N3O3 | 4-[(Hydroxymethyl)nitrosoamino]-1-(3-pyridinyl)-1-butanone],TRUE,NNK,Reactant,NNK
1.14.14.1,k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Intrasporangiaceae;g__Humibacillus;s__Humibacillus_xanthopallidus,Humibacillus,Humibacillus xanthopallidus,Humibacillus xanthopallidus,R09423,,4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone + Oxygen + NADPH + H+ <=> 4-Hydroxy-4-(methylnitrosoamino)-1-(3-pyridinyl)-1-butanone + H2O + NADP+,C16453 + C00007 + C00005 + C00080 <=> C19566 + C00001 + C00006,C16453; C00007; C00005; C00080,C19566; C00001; C00006,C16453; C00007; C00005; C00080 [C10H13N3O2 | 4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone; NNK],C19566; C00001; C00006 [C10H13N3O3 | 4-Hydroxy-4-(methylnitrosoamino)-1-(3-pyridinyl)-1-butanone],TRUE,NNK,Reactant,NNK
1.14.14.18,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophaceae;g__Syntrophus;s__Syntrophus_gentianae,Syntrophus,Syntrophus gentianae,Syntrophus gentianae,R00311,"protoheme,NADPH---hemoprotein reductase:oxygen oxidoreductase (alpha-methene-oxidizing, hydroxylating)",Heme + 3 [Reduced NADPH---hemoprotein reductase] + 3 Oxygen <=> Biliverdin + CO + Fe2+ + 3 [Oxidized NADPH---hemoprotein reductase] + 3 H2O,C00032 + 3 C03024 + 3 C00007 <=> C00500 + C00237 + C14818 + 3 C03161 + 3 C00001,C00032; 3 C03024; 3 C00007,C00500; C00237; C14818; 3 C03161; 3 C00001,C00032; 3 C03024; 3 C00007 [C34H32FeN4O4 | Heme; Haem; Protoheme; Heme B; Protoheme IX],C00500; C00237; C14818; 3 C03161; 3 C00001 [C33H34N4O6 | Biliverdin; Biliverdin IX alpha],TRUE,Biliverdin,Product,Biliverdin
1.14.14.19,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__Bradyrhizobium_sp._DOA1,Bradyrhizobium,Bradyrhizobium sp. DOA1,Bradyrhizobium sp. DOA1,R02211,"progesterone,NADPH-hemoprotein reductase:oxygen oxidoreductase (17alpha-hydroxylating)",Progesterone + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 17alpha-Hydroxyprogesterone + [Oxidized NADPH---hemoprotein reductase] + H2O,C00410 + C03024 + C00007 <=> C01176 + C03161 + C00001,C00410; C03024; C00007,C01176; C03161; C00001,"C00410; C03024; C00007 [C21H30O2 | Progesterone; 4-Pregnene-3,20-dione]","C01176; C03161; C00001 [C21H30O3 | 17alpha-Hydroxyprogesterone; 17alpha-Hydroxy-4-pregnene-3,20-dione; Pregn-4-ene-3,20-dione-17-ol; 17alpha-Hydroxy-progesterone]",TRUE,17alpha-Hydroxyprogesterone,Product,17alpha-Hydroxyprogesterone
1.14.14.19,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__Bradyrhizobium_sp._DOA1,Bradyrhizobium,Bradyrhizobium sp. DOA1,Bradyrhizobium sp. DOA1,R03783,"pregnenolone,NADPH-hemoprotein reductase:oxygen oxidoreductase (17alpha-hydroxylating)",Pregnenolone + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 17alpha-Hydroxypregnenolone + [Oxidized NADPH---hemoprotein reductase] + H2O,C01953 + C03024 + C00007 <=> C05138 + C03161 + C00001,C01953; C03024; C00007,C05138; C03161; C00001,C01953; C03024; C00007 [C21H32O2 | Pregnenolone; 5-Pregnen-3beta-ol-20-one; 3beta-Hydroxypregn-5-en-20-one],"C05138; C03161; C00001 [C21H32O3 | 17alpha-Hydroxypregnenolone; 3-beta,17alpha-Dihydroxypregn-5-en-20-one]",TRUE,17alpha-Hydroxypregnenolone,Product,17alpha-Hydroxypregnenolone
1.14.14.32,k__Bacteria;p__Candidatus_Omnitrophica;c__unclassified_Candidatus_Omnitrophica;o__unclassified_Candidatus_Omnitrophica;f__unclassified_Candidatus_Omnitrophica;g__unclassified_Candidatus_Omnitrophica;s__Candidatus_Omnitrophica_bacterium,unclassified Candidatus Omnitrophica,Candidatus Omnitrophica bacterium,Candidatus Omnitrophica bacterium,R08517,"17alpha-hydroxypregnenolone,NADPH---hemoprotein reductase:oxygen oxidoreductase (17alpha-hydroxylating, acetate-releasing)",17alpha-Hydroxypregnenolone + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Dehydroepiandrosterone + Acetate + [Oxidized NADPH---hemoprotein reductase] + H2O,C05138 + C03024 + C00007 <=> C01227 + C00033 + C03161 + C00001,C05138; C03024; C00007,C01227; C00033; C03161; C00001,"C05138; C03024; C00007 [C21H32O3 | 17alpha-Hydroxypregnenolone; 3-beta,17alpha-Dihydroxypregn-5-en-20-one]",C01227; C00033; C03161; C00001 [C19H28O2 | Dehydroepiandrosterone; 3beta-Hydroxyandrost-5-en-17-one; Dehydroisoandrosterone; DHA; DHEA],TRUE,17alpha-Hydroxypregnenolone,Reactant,17alpha-Hydroxypregnenolone
1.14.14.32,k__Bacteria;p__Candidatus_Omnitrophica;c__unclassified_Candidatus_Omnitrophica;o__unclassified_Candidatus_Omnitrophica;f__unclassified_Candidatus_Omnitrophica;g__unclassified_Candidatus_Omnitrophica;s__Candidatus_Omnitrophica_bacterium,unclassified Candidatus Omnitrophica,Candidatus Omnitrophica bacterium,Candidatus Omnitrophica bacterium,R08518,"17alpha-hydroxyprogesterone,NADPH---hemoprotein reductase:oxygen oxidoreductase (17alpha-hydroxylating, acetate-releasing)",17alpha-Hydroxyprogesterone + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Androstenedione + Acetate + [Oxidized NADPH---hemoprotein reductase] + H2O,C01176 + C03024 + C00007 <=> C00280 + C00033 + C03161 + C00001,C01176; C03024; C00007,C00280; C00033; C03161; C00001,"C01176; C03024; C00007 [C21H30O3 | 17alpha-Hydroxyprogesterone; 17alpha-Hydroxy-4-pregnene-3,20-dione; Pregn-4-ene-3,20-dione-17-ol; 17alpha-Hydroxy-progesterone]","C00280; C00033; C03161; C00001 [C19H26O2 | Androstenedione; Androst-4-ene-3,17-dione; 4-Androstene-3,17-dione]",TRUE,17alpha-Hydroxyprogesterone; Androstenedione,Reactant; Product,17alpha-Hydroxyprogesterone; Androstenedione
1.14.14.32,k__Bacteria;p__Candidatus_Omnitrophica;c__unclassified_Candidatus_Omnitrophica;o__unclassified_Candidatus_Omnitrophica;f__unclassified_Candidatus_Omnitrophica;g__unclassified_Candidatus_Omnitrophica;s__Candidatus_Omnitrophica_bacterium,unclassified Candidatus Omnitrophica,Candidatus Omnitrophica bacterium,Candidatus Omnitrophica bacterium,R13218,"5alpha-pregnane-3alpha,17alpha-diol-20-one,NADPH---hemoprotein reductase:oxygen oxidoreductase (17alpha-hydroxylating, acetate-releasing)","5alpha-Pregnane-3alpha,17alpha-diol-20-one + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Androsterone + Acetate + [Oxidized NADPH---hemoprotein reductase] + H2O",C22832 + C03024 + C00007 <=> C00523 + C00033 + C03161 + C00001,C22832; C03024; C00007,C00523; C00033; C03161; C00001,"C22832; C03024; C00007 [C21H34O3 | 5alpha-Pregnane-3alpha,17alpha-diol-20-one; 3alpha,17alpha-Dihydroxy-5alpha-pregnan-20-one; 17alpha-Hydroxyallopregnanolone]",C00523; C00033; C03161; C00001 [C19H30O2 | Androsterone; 3alpha-Hydroxy-5alpha-androstan-17-one],TRUE,Androsterone,Product,Androsterone
1.14.14.47,k__Bacteria;p__Ignavibacteriae;c__unclassified_Ignavibacteriae;o__unclassified_Ignavibacteriae;f__unclassified_Ignavibacteriae;g__unclassified_Ignavibacteriae;s__Ignavibacteriae_bacterium,unclassified Ignavibacteriae,Ignavibacteriae bacterium,Ignavibacteriae bacterium,R11711,"L-arginine,reduced-flavodoxin:oxygen oxidoreductase (nitric-oxide-forming)",2 L-Arginine + 3 Reduced flavodoxin + 4 Oxygen <=> 2 L-Citrulline + 2 Nitric oxide + 3 Oxidized flavodoxin + 4 H2O,2 C00062 + 3 C02745 + 4 C00007 <=> 2 C00327 + 2 C00533 + 3 C02869 + 4 C00001,2 C00062; 3 C02745; 4 C00007,2 C00327; 2 C00533; 3 C02869; 4 C00001,2 C00062; 3 C02745; 4 C00007 [C6H14N4O2 | L-Arginine; (S)-2-Amino-5-guanidinovaleric acid; L-Arg],2 C00327; 2 C00533; 3 C02869; 4 C00001 [C6H13N3O3 | L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline],TRUE,L-arginine; L-Citrulline,Reactant; Product,L-Arginine; L-Citrulline
1.14.14.47,k__Bacteria;p__Ignavibacteriae;c__unclassified_Ignavibacteriae;o__unclassified_Ignavibacteriae;f__unclassified_Ignavibacteriae;g__unclassified_Ignavibacteriae;s__Ignavibacteriae_bacterium,unclassified Ignavibacteriae,Ignavibacteriae bacterium,Ignavibacteriae bacterium,R11712,,2 L-Arginine + 2 Reduced flavodoxin + 2 Oxygen <=> 2 N(omega)-Hydroxyarginine + 2 Oxidized flavodoxin + 2 H2O,2 C00062 + 2 C02745 + 2 C00007 <=> 2 C05933 + 2 C02869 + 2 C00001,2 C00062; 2 C02745; 2 C00007,2 C05933; 2 C02869; 2 C00001,2 C00062; 2 C02745; 2 C00007 [C6H14N4O2 | L-Arginine; (S)-2-Amino-5-guanidinovaleric acid; L-Arg],2 C05933; 2 C02869; 2 C00001 [C6H14N4O3 | N(omega)-Hydroxyarginine; N(omega)-Hydroxy-L-arginine],TRUE,L-arginine,Reactant,L-Arginine
1.14.14.47,k__Bacteria;p__Ignavibacteriae;c__unclassified_Ignavibacteriae;o__unclassified_Ignavibacteriae;f__unclassified_Ignavibacteriae;g__unclassified_Ignavibacteriae;s__Ignavibacteriae_bacterium,unclassified Ignavibacteriae,Ignavibacteriae bacterium,Ignavibacteriae bacterium,R11713,,2 N(omega)-Hydroxyarginine + Reduced flavodoxin + 2 Oxygen <=> 2 L-Citrulline + 2 Nitric oxide + Oxidized flavodoxin + 2 H2O,2 C05933 + C02745 + 2 C00007 <=> 2 C00327 + 2 C00533 + C02869 + 2 C00001,2 C05933; C02745; 2 C00007,2 C00327; 2 C00533; C02869; 2 C00001,2 C05933; C02745; 2 C00007 [C6H14N4O3 | N(omega)-Hydroxyarginine; N(omega)-Hydroxy-L-arginine],2 C00327; 2 C00533; C02869; 2 C00001 [C6H13N3O3 | L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline],TRUE,L-Citrulline,Product,L-Citrulline
1.14.15.7,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium;s__unclassified_Methylobacterium,Methylobacterium,unclassified Methylobacterium,unclassified Methylobacterium,R05739,"choline,reduced-ferredoxin:oxygen oxidoreductase",Choline + Oxygen + 2 Reduced ferredoxin + 2 H+ <=> Betaine aldehyde hydrate + H2O + 2 Oxidized ferredoxin,C00114 + C00007 + 2 C00138 + 2 C00080 <=> C07345 + C00001 + 2 C00139,C00114; C00007; 2 C00138; 2 C00080,C07345; C00001; 2 C00139,C00114; C00007; 2 C00138; 2 C00080 [C5H14NO | Choline; Bilineurine],C07345; C00001; 2 C00139 [C5H14NO2 | Betaine aldehyde hydrate],TRUE,Choline,Reactant,Choline
1.14.15.7,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium;s__unclassified_Methylobacterium,Methylobacterium,unclassified Methylobacterium,unclassified Methylobacterium,R07409,"choline,reduced-ferredoxin:oxygen oxidoreductase",Choline + Oxygen + 2 Reduced ferredoxin + 2 H+ <=> Betaine aldehyde + 2 H2O + 2 Oxidized ferredoxin,C00114 + C00007 + 2 C00138 + 2 C00080 <=> C00576 + 2 C00001 + 2 C00139,C00114; C00007; 2 C00138; 2 C00080,C00576; 2 C00001; 2 C00139,C00114; C00007; 2 C00138; 2 C00080 [C5H14NO | Choline; Bilineurine],C00576; 2 C00001; 2 C00139 [C5H12NO | Betaine aldehyde],TRUE,Choline,Reactant,Choline
1.14.16.1,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodovulum;s__Rhodovulum_euryhalinum,Rhodovulum,Rhodovulum euryhalinum,Rhodovulum euryhalinum,R07211,"L-phenylalanine,tetrahydrobiopterin:oxygen oxidoreductase(4-hydroxylating)",L-Phenylalanine + Tetrahydrobiopterin + Oxygen <=> L-Tyrosine + 4a-Hydroxytetrahydrobiopterin,C00079 + C00272 + C00007 <=> C00082 + C15522,C00079; C00272; C00007,C00082; C15522,C00079; C00272; C00007 [C9H11NO2 | L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid],C00082; C15522 [C9H11NO3 | L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine],TRUE,L-Phenylalanine; L-Tyrosine,Reactant; Product,L-Phenylalanine; L-Tyrosine
1.14.16.1,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rhodovulum;s__Rhodovulum_euryhalinum,Rhodovulum,Rhodovulum euryhalinum,Rhodovulum euryhalinum,R12540,"L-phenylalanine,tetrahydropteridine:oxygen oxidoreductase (4-hydroxylating)","L-Phenylalanine + Tetrahydropteridine + Oxygen <=> L-Tyrosine + 4a-Hydroxy-5,6,7,8-tetrahydropteridine",C00079 + C05650 + C00007 <=> C00082 + C22239,C00079; C05650; C00007,C00082; C22239,C00079; C05650; C00007 [C9H11NO2 | L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid],C00082; C22239 [C9H11NO3 | L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine],TRUE,L-Phenylalanine; L-Tyrosine,Reactant; Product,L-Phenylalanine; L-Tyrosine
1.14.16.2,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Rhizorhapis;s__Rhizorhapis_suberifaciens,Rhizorhapis,Rhizorhapis suberifaciens,Rhizorhapis suberifaciens,R01815,"L-tyrosine,tetrahydrobiopterin:oxygen oxidoreductase (3-hydroxylating)","Tetrahydrobiopterin + L-Tyrosine + Oxygen <=> 3,4-Dihydroxy-L-phenylalanine + Dihydrobiopterin + H2O",C00272 + C00082 + C00007 <=> C00355 + C00268 + C00001,C00272; C00082; C00007,C00355; C00268; C00001,"C00272; C00082; C00007 [C9H15N5O3 | Tetrahydrobiopterin; 5,6,7,8-Tetrahydrobiopterin; 2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1H)-pteridinone; L-erythro-Tetrahydrobiopterin]","C00355; C00268; C00001 [C9H11NO4 | 3,4-Dihydroxy-L-phenylalanine; L-Dopa; 3-Hydroxy-L-tyrosine; L-beta-(3,4-Dihydroxyphenyl)alanine; Levodopa; Dihydroxy-L-phenylalanine]",TRUE,L-Dopa; Levodopa,Product,L-Dopa; Levodopa
1.14.16.2,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Rhizorhapis;s__Rhizorhapis_suberifaciens,Rhizorhapis,Rhizorhapis suberifaciens,Rhizorhapis suberifaciens,R07212,"L-tyrosine,tetrahydrobiopterin:oxygen oxidoreductase(3-hydroxylating)","L-Tyrosine + Tetrahydrobiopterin + Oxygen <=> 3,4-Dihydroxy-L-phenylalanine + 4a-Hydroxytetrahydrobiopterin",C00082 + C00272 + C00007 <=> C00355 + C15522,C00082; C00272; C00007,C00355; C15522,C00082; C00272; C00007 [C9H11NO3 | L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine],"C00355; C15522 [C9H11NO4 | 3,4-Dihydroxy-L-phenylalanine; L-Dopa; 3-Hydroxy-L-tyrosine; L-beta-(3,4-Dihydroxyphenyl)alanine; Levodopa; Dihydroxy-L-phenylalanine]",TRUE,L-Tyrosine; L-Dopa; Levodopa,Reactant; Product,L-Tyrosine; L-Dopa; Levodopa
1.14.16.2,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Rhizorhapis;s__Rhizorhapis_suberifaciens,Rhizorhapis,Rhizorhapis suberifaciens,Rhizorhapis suberifaciens,R12541,"L-tyrosine,tetrahydropteridine:oxygen oxidoreductase (3-hydroxylating)","L-Tyrosine + Tetrahydropteridine + Oxygen <=> 3,4-Dihydroxy-L-phenylalanine + 4a-Hydroxy-5,6,7,8-tetrahydropteridine",C00082 + C05650 + C00007 <=> C00355 + C22239,C00082; C05650; C00007,C00355; C22239,C00082; C05650; C00007 [C9H11NO3 | L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine],"C00355; C22239 [C9H11NO4 | 3,4-Dihydroxy-L-phenylalanine; L-Dopa; 3-Hydroxy-L-tyrosine; L-beta-(3,4-Dihydroxyphenyl)alanine; Levodopa; Dihydroxy-L-phenylalanine]",TRUE,L-Tyrosine; L-Dopa; Levodopa,Reactant; Product,L-Tyrosine; L-Dopa; Levodopa
1.14.16.4,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__unclassified_Comamonadaceae;s__unclassified_Comamonadaceae,unclassified Comamonadaceae,unclassified Comamonadaceae,unclassified Comamonadaceae,R07213,"L-tryptophan,tetrahydrobiopterin:oxygen oxidoreductase(5-hydroxylating)",L-Tryptophan + Tetrahydrobiopterin + Oxygen <=> 5-Hydroxy-L-tryptophan + 4a-Hydroxytetrahydrobiopterin,C00078 + C00272 + C00007 <=> C00643 + C15522,C00078; C00272; C00007,C00643; C15522,C00078; C00272; C00007 [C11H12N2O2 | L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid],C00643; C15522 [C11H12N2O3 | 5-Hydroxy-L-tryptophan; Oxitriptan],TRUE,L-Tryptophan,Reactant,L-Tryptophan
1.14.16.4,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__unclassified_Comamonadaceae;s__unclassified_Comamonadaceae,unclassified Comamonadaceae,unclassified Comamonadaceae,unclassified Comamonadaceae,R12542,"L-tryptophan,tetrahydropteridine:oxygen oxidoreductase (5-hydroxylating)","L-Tryptophan + Tetrahydropteridine + Oxygen <=> 5-Hydroxy-L-tryptophan + 4a-Hydroxy-5,6,7,8-tetrahydropteridine",C00078 + C05650 + C00007 <=> C00643 + C22239,C00078; C05650; C00007,C00643; C22239,C00078; C05650; C00007 [C11H12N2O2 | L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid],C00643; C22239 [C11H12N2O3 | 5-Hydroxy-L-tryptophan; Oxitriptan],TRUE,L-Tryptophan,Reactant,L-Tryptophan
1.14.18.1,k__Bacteria;p__Cyanobacteria;c__unclassified_Cyanobacteria;o__Synechococcales;f__Merismopediaceae;g__Synechocystis;s__Synechocystis_sp._PCC_7509,Synechocystis,Synechocystis sp. PCC 7509,Synechocystis sp. PCC 7509,R00031,"1,2-benzenediol:oxygen oxidoreductase","Oxygen + 2 L-Tyrosine <=> 2 3,4-Dihydroxy-L-phenylalanine",C00007 + 2 C00082 <=> 2 C00355,C00007; 2 C00082,2 C00355,C00007; 2 C00082 [O2 | Oxygen; O2],"2 C00355 [C9H11NO4 | 3,4-Dihydroxy-L-phenylalanine; L-Dopa; 3-Hydroxy-L-tyrosine; L-beta-(3,4-Dihydroxyphenyl)alanine; Levodopa; Dihydroxy-L-phenylalanine]",TRUE,L-Dopa; Levodopa,Product,L-Dopa; Levodopa
1.14.18.1,k__Bacteria;p__Cyanobacteria;c__unclassified_Cyanobacteria;o__Synechococcales;f__Merismopediaceae;g__Synechocystis;s__Synechocystis_sp._PCC_7509,Synechocystis,Synechocystis sp. PCC 7509,Synechocystis sp. PCC 7509,R00731,L-tyrosine:oxygen oxidoreductase,"L-Tyrosine + Oxygen <=> 3,4-Dihydroxy-L-phenylalanine + H2O",C00082 + C00007 <=> C00355 + C00001,C00082; C00007,C00355; C00001,C00082; C00007 [C9H11NO3 | L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine],"C00355; C00001 [C9H11NO4 | 3,4-Dihydroxy-L-phenylalanine; L-Dopa; 3-Hydroxy-L-tyrosine; L-beta-(3,4-Dihydroxyphenyl)alanine; Levodopa; Dihydroxy-L-phenylalanine]",TRUE,L-Tyrosine; L-Dopa; Levodopa,Reactant; Product,L-Tyrosine; L-Dopa; Levodopa
1.14.18.1,k__Bacteria;p__Cyanobacteria;c__unclassified_Cyanobacteria;o__Synechococcales;f__Merismopediaceae;g__Synechocystis;s__Synechocystis_sp._PCC_7509,Synechocystis,Synechocystis sp. PCC 7509,Synechocystis sp. PCC 7509,R02078,"L-tyrosine,L-dopa:oxygen oxidoreductase","3,4-Dihydroxy-L-phenylalanine + L-Tyrosine + Oxygen <=> Dopaquinone + 3,4-Dihydroxy-L-phenylalanine + H2O",C00355 + C00082 + C00007 <=> C00822 + C00355 + C00001,C00355; C00082; C00007,C00822; C00355; C00001,"C00355; C00082; C00007 [C9H11NO4 | 3,4-Dihydroxy-L-phenylalanine; L-Dopa; 3-Hydroxy-L-tyrosine; L-beta-(3,4-Dihydroxyphenyl)alanine; Levodopa; Dihydroxy-L-phenylalanine]",C00822; C00355; C00001 [C9H9NO4 | Dopaquinone],TRUE,L-Dopa; Levodopa,Reactant,L-Dopa; Levodopa
1.14.18.1,k__Bacteria;p__Cyanobacteria;c__unclassified_Cyanobacteria;o__Synechococcales;f__Merismopediaceae;g__Synechocystis;s__Synechocystis_sp._PCC_7509,Synechocystis,Synechocystis sp. PCC 7509,Synechocystis sp. PCC 7509,R02383,"monophenol,L-dopa:oxygen oxidoreductase",Tyramine + Oxygen + NADH + H+ <=> Dopamine + NAD+ + H2O,C00483 + C00007 + C00004 + C00080 <=> C03758 + C00003 + C00001,C00483; C00007; C00004; C00080,C03758; C00003; C00001,C00483; C00007; C00004; C00080 [C8H11NO | Tyramine; 2-(p-Hydroxyphenyl)ethylamine],"C03758; C00003; C00001 [C8H11NO2 | Dopamine; 4-(2-Aminoethyl)-1,2-benzenediol; 4-(2-Aminoethyl)benzene-1,2-diol; 3,4-Dihydroxyphenethylamine; 2-(3,4-Dihydroxyphenyl)ethylamine]",TRUE,Tyramine,Reactant,Tyramine
1.14.18.1,k__Bacteria;p__Cyanobacteria;c__unclassified_Cyanobacteria;o__Synechococcales;f__Merismopediaceae;g__Synechocystis;s__Synechocystis_sp._PCC_7509,Synechocystis,Synechocystis sp. PCC 7509,Synechocystis sp. PCC 7509,R02950,4-coumarate:oxygen oxidoreductase,4-Coumarate + Oxygen + Caffeate <=> Caffeate + H2O + Caffeoquinone,C00811 + C00007 + C01197 <=> C01197 + C00001 + C16828,C00811; C00007; C01197,C01197; C00001; C16828,C00811; C00007; C01197 [C9H8O3 | 4-Coumarate; p-Coumaric acid; trans-4-Hydroxycinnamate; trans-p-Hydroxycinnamate; 4-Hydroxycinnamic acid; 4-Hydroxycinnamate],"C01197; C00001; C16828 [C9H8O4 | Caffeate; Caffeic acid; 3,4-Dihydroxy-trans-cinnamate; trans-Caffeate; (2E)-3-(3,4-Dihydroxyphenyl)prop-2-enoate]",TRUE,p-Coumaric acid; Caffeic acid,Reactant; Product,p-Coumaric acid; Caffeic acid
1.17.1.4,k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Gemmata;s__unclassified_Gemmata,Gemmata,unclassified Gemmata,unclassified Gemmata,R01768,hypoxanthine:NAD+ oxidoreductase,Hypoxanthine + NAD+ + H2O <=> Xanthine + NADH + H+,C00262 + C00003 + C00001 <=> C00385 + C00004 + C00080,C00262; C00003; C00001,C00385; C00004; C00080,C00262; C00003; C00001 [C5H4N4O | Hypoxanthine; Purine-6-ol],C00385; C00004; C00080 [C5H4N4O2 | Xanthine],TRUE,Hypoxanthine; Xanthine,Reactant; Product,Hypoxanthine; Xanthine
1.17.1.4,k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Gemmata;s__unclassified_Gemmata,Gemmata,unclassified Gemmata,unclassified Gemmata,R02103,xanthine:NAD+ oxidoreductase,Xanthine + NAD+ + H2O <=> Urate + NADH + H+,C00385 + C00003 + C00001 <=> C00366 + C00004 + C00080,C00385; C00003; C00001,C00366; C00004; C00080,C00385; C00003; C00001 [C5H4N4O2 | Xanthine],C00366; C00004; C00080 [C5H4N4O3 | Urate; Uric acid],TRUE,Xanthine; Uric acid,Reactant; Product,Xanthine; Uric acid
1.17.1.4,k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Gemmata;s__unclassified_Gemmata,Gemmata,unclassified Gemmata,unclassified Gemmata,R12987,adenine:NAD+ oxidoreductase,Adenine + NAD+ + H2O <=> 8-Hydroxyadenine + NADH + H+,C00147 + C00003 + C00001 <=> C22499 + C00004 + C00080,C00147; C00003; C00001,C22499; C00004; C00080,C00147; C00003; C00001 [C5H5N5 | Adenine; 6-Aminopurine],"C22499; C00004; C00080 [C5H5N5O | 8-Hydroxyadenine; 7,8-Dihydro-8-oxoadenine]",TRUE,Adenine,Reactant,Adenine
1.17.3.2,k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Thermogemmata;s__Thermogemmata_fonticola,Thermogemmata,Thermogemmata fonticola,Thermogemmata fonticola,R01769,hypoxanthine:oxygen oxidoreductase,Hypoxanthine + Oxygen + H2O <=> Xanthine + Hydrogen peroxide,C00262 + C00007 + C00001 <=> C00385 + C00027,C00262; C00007; C00001,C00385; C00027,C00262; C00007; C00001 [C5H4N4O | Hypoxanthine; Purine-6-ol],C00385; C00027 [C5H4N4O2 | Xanthine],TRUE,Hypoxanthine; Xanthine,Reactant; Product,Hypoxanthine; Xanthine
